longitude,latitude,Vs30,Z1pt0,Z2pt5
167.4912056,-47.28446887,614.7868459,85,0.425
167.5306955,-47.28636589,455.7786933,55,0.525
167.5438598,-47.28699521,563.1671303,85,0.425
167.465818,-47.27424035,608.4527074,35,0.525
167.4789778,-47.27487701,608.4527074,85,0.425
167.4921381,-47.27551216,598.8453107,85,0.425
167.5052987,-47.2761458,614.7868459,35,0.675
167.5184599,-47.27677794,429.4187403,45,0.625
167.5316214,-47.27740858,455.7786933,55,0.625
167.5447835,-47.27803771,563.1671303,45,0.575
167.4535974,-47.26464605,429.4187403,65,0.425
167.4667545,-47.26528401,455.7786933,35,0.575
167.4799121,-47.26592046,563.1671303,35,0.725
167.4930701,-47.26655541,598.8453107,45,0.525
167.5062286,-47.26718886,563.1671303,35,0.725
167.5193875,-47.2678208,563.1671303,55,0.725
167.5325469,-47.26845124,598.8453107,45,0.725
167.5457067,-47.26908018,608.4527074,35,0.775
167.558867,-47.26970761,521.1074054,35,0.625
167.5720277,-47.27033354,521.1074054,35,0.475
167.3887677,-47.25247854,429.4187403,65,0.425
167.4019204,-47.25312381,608.4527074,95,0.475
167.4676905,-47.25632763,521.1074054,45,0.525
167.4808459,-47.25696389,563.1671303,45,0.725
167.4940017,-47.25759864,563.1671303,45,0.775
167.507158,-47.25823189,608.4527074,45,0.825
167.5203147,-47.25886364,596.5160384,35,0.825
167.5334719,-47.25949388,472.7927227,45,0.725
167.5466295,-47.26012262,472.7927227,45,0.625
167.5597876,-47.26074986,472.7927227,45,0.625
167.5729461,-47.26137559,472.7927227,45,0.475
167.586105,-47.26199982,472.7927227,75,0.425
167.6124243,-47.26324377,608.4527074,85,0.425
167.6255845,-47.26386349,443.3532201,85,0.425
167.6387452,-47.2644817,429.4187403,65,0.425
167.3897164,-47.24352333,429.4187403,75,0.475
167.4028669,-47.2441684,608.4527074,155,0.525
167.468626,-47.24737122,614.7868459,45,0.575
167.4817792,-47.24800728,521.1074054,35,0.675
167.4949329,-47.24864184,521.1074054,35,0.725
167.5080869,-47.24927489,472.7927227,45,0.725
167.5212415,-47.24990644,598.8453107,35,0.825
167.5343964,-47.25053649,472.7927227,45,0.825
167.5475519,-47.25116503,429.4187403,45,0.675
167.5607077,-47.25179208,608.4527074,55,0.625
167.573864,-47.25241761,472.7927227,35,0.525
167.5870208,-47.25304165,472.7927227,75,0.425
167.6133356,-47.25428521,608.4527074,65,0.475
167.6264937,-47.25490473,443.3532201,55,0.475
167.6396522,-47.25552275,429.4187403,55,0.475
167.403813,-47.23521297,614.7868459,185,0.575
167.4169617,-47.23585633,563.1671303,75,0.475
167.4301109,-47.2364982,563.1671303,75,0.425
167.4695611,-47.23841479,596.5160384,35,0.575
167.4827121,-47.23905065,521.1074054,45,0.625
167.4958636,-47.23968501,563.1671303,45,0.775
167.5090154,-47.24031786,596.5160384,55,0.775
167.5221678,-47.24094922,598.8453107,35,0.725
167.5353206,-47.24157907,472.7927227,45,0.725
167.5484738,-47.24220742,563.1671303,45,0.575
167.5616275,-47.24283427,563.1671303,45,0.475
167.5747816,-47.24345961,596.5160384,55,0.475
167.5879361,-47.24408345,472.7927227,45,0.425
167.6010911,-47.24470579,614.7868459,55,0.475
167.6142466,-47.24532662,614.7868459,35,0.475
167.6274024,-47.24594595,429.4187403,45,0.525
167.6537155,-47.24718011,608.4527074,75,0.425
167.325889,-47.22236699,608.4527074,95,0.425
167.4179051,-47.22690067,563.1671303,25,0.425
167.4310521,-47.22754233,596.5160384,85,0.475
167.4704958,-47.22945833,472.7927227,65,0.425
167.4836446,-47.23009399,614.7868459,35,0.525
167.4967938,-47.23072815,472.7927227,35,0.575
167.5099435,-47.23136081,370.4840593,55,0.725
167.5230936,-47.23199197,596.5160384,35,0.725
167.5362442,-47.23262162,608.4527074,45,0.775
167.5493953,-47.23324978,472.7927227,45,0.475
167.5756986,-47.23450158,443.3532201,45,0.425
167.6020038,-47.23574737,614.7868459,75,0.425
167.6283107,-47.23698715,429.4187403,85,0.425
167.6414648,-47.23760478,608.4527074,45,0.475
167.3925598,-47.21665754,614.7868459,95,0.425
167.47143,-47.22050184,608.4527074,55,0.525
167.4845766,-47.2211373,521.1074054,45,0.525
167.4977236,-47.22177127,608.4527074,45,0.625
167.5108711,-47.22240373,598.8453107,35,0.525
167.5240191,-47.22303469,614.7868459,45,0.675
167.5371675,-47.22366415,443.3532201,35,0.725
167.5503163,-47.22429211,596.5160384,35,0.575
167.5634656,-47.22491856,608.4527074,35,0.425
167.5766153,-47.22554352,429.4187403,65,0.425
167.5897654,-47.22616697,608.4527074,65,0.425
167.602916,-47.22678892,608.4527074,55,0.425
167.6423705,-47.22864576,608.4527074,45,0.475
167.6555228,-47.2292617,608.4527074,55,0.475
167.4855081,-47.21218059,563.1671303,45,0.475
167.498653,-47.21281435,598.8453107,45,0.475
167.5117983,-47.21344662,472.7927227,35,0.475
167.524944,-47.21407738,472.7927227,45,0.475
167.5380902,-47.21470665,443.3532201,45,0.525
167.5512369,-47.21533441,443.3532201,45,0.475
167.564384,-47.21596067,563.1671303,45,0.475
167.5775315,-47.21658543,472.7927227,45,0.475
167.5906794,-47.21720869,386.8868477,35,0.475
167.4995819,-47.20385741,370.4840593,55,0.425
167.512725,-47.20448948,453.0114695,45,0.425
167.5258686,-47.20512005,453.0114695,55,0.475
167.5390126,-47.20574912,429.4187403,45,0.525
167.552157,-47.20637668,608.4527074,35,0.525
167.5653019,-47.20700275,608.4527074,35,0.475
167.5784472,-47.20762731,455.7786933,55,0.475
167.591593,-47.20825038,443.3532201,45,0.525
167.6047392,-47.20887194,472.7927227,35,0.425
167.6178859,-47.209492,472.7927227,75,0.425
167.631033,-47.21011056,370.4840593,55,0.425
167.6573284,-47.21134318,596.5160384,95,0.475
167.5399345,-47.19679156,521.1074054,45,0.525
167.5530767,-47.19741893,598.8453107,45,0.625
167.5662194,-47.1980448,472.7927227,45,0.475
167.5793625,-47.19866917,386.8868477,55,0.425
167.5925061,-47.19929204,443.3532201,55,0.425
167.6056501,-47.19991341,443.3532201,55,0.425
167.6187946,-47.20053328,429.4187403,55,0.425
167.6450848,-47.20176851,608.4527074,15,0.425
167.6713768,-47.20299774,608.4527074,55,0.475
167.710818,-47.20483032,429.4187403,55,0.425
167.5277163,-47.1872053,608.4527074,85,0.425
167.5408559,-47.18783397,443.3532201,55,0.475
167.553996,-47.18846115,608.4527074,35,0.575
167.5671365,-47.18908682,429.4187403,45,0.575
167.5802774,-47.189711,563.1671303,35,0.525
167.5934188,-47.19033368,608.4527074,35,0.525
167.6065606,-47.19095485,608.4527074,45,0.425
167.6197029,-47.19157453,386.8868477,55,0.425
167.6328456,-47.1921927,608.4527074,65,0.425
167.6459887,-47.19280938,608.4527074,55,0.425
167.6591323,-47.19342455,429.4187403,45,0.475
167.6722763,-47.19403822,429.4187403,65,0.425
167.7117109,-47.19587023,429.4187403,125,0.525
167.5549148,-47.17950334,370.4840593,65,0.475
167.5680531,-47.18012882,370.4840593,55,0.475
167.5811918,-47.1807528,468.2877227,55,0.475
167.594331,-47.18137528,198.4659335,65,0.475
167.6074707,-47.18199627,608.4527074,65,0.475
167.6206108,-47.18261575,608.4527074,35,0.575
167.6337513,-47.18323373,429.4187403,45,0.575
167.6468922,-47.18385021,614.7868459,35,0.525
167.6600336,-47.1844652,472.7927227,45,0.425
167.6731754,-47.18507868,472.7927227,75,0.425
167.6994603,-47.18630114,429.4187403,135,0.525
167.7126034,-47.18691012,608.4527074,155,0.525
167.8177637,-47.1917279,608.4527074,65,0.425
167.5821058,-47.17179458,596.5160384,35,0.575
167.5952428,-47.17241686,608.4527074,35,0.675
167.6083803,-47.17303765,596.5160384,35,0.625
167.6215182,-47.17365694,596.5160384,35,0.575
167.6346565,-47.17427473,455.7786933,35,0.525
167.6477952,-47.17489102,608.4527074,35,0.475
167.6609344,-47.17550581,455.7786933,35,0.475
167.6740741,-47.1761191,455.7786933,45,0.425
167.7266369,-47.17855726,429.4187403,55,0.475
167.7792065,-47.18097141,429.4187403,45,0.475
167.8054939,-47.18216948,443.3532201,45,0.475
167.8186382,-47.18276626,608.4527074,45,0.525
167.831783,-47.18336154,472.7927227,45,0.475
167.5830194,-47.16283632,563.1671303,35,0.575
167.5961542,-47.16345842,521.1074054,45,0.575
167.6092895,-47.16407901,443.3532201,45,0.525
167.6224252,-47.16469811,443.3532201,55,0.475
167.6355613,-47.16531571,429.4187403,55,0.475
167.6486979,-47.16593181,429.4187403,55,0.475
167.6618349,-47.1665464,429.4187403,55,0.425
167.6749723,-47.1671595,472.7927227,65,0.475
167.6881102,-47.1677711,472.7927227,65,0.425
167.7275263,-47.1695969,608.4527074,35,0.475
167.7406659,-47.1702025,608.4527074,45,0.475
167.7538059,-47.1708066,608.4527074,45,0.475
167.7669464,-47.1714092,608.4527074,45,0.475
167.7800872,-47.1720103,472.7927227,55,0.525
167.7932285,-47.1726099,429.4187403,55,0.475
167.8063702,-47.17320799,472.7927227,45,0.525
167.8195123,-47.17380459,429.4187403,35,0.575
167.8326549,-47.17439968,472.7927227,45,0.525
167.8457979,-47.17499328,429.4187403,35,0.525
167.8589412,-47.17558537,370.4840593,55,0.475
167.4001223,-47.14501417,614.7868459,75,0.425
167.5576686,-47.15262974,278.0602058,15,0.375
167.5839325,-47.15387804,472.7927227,45,0.525
167.5970651,-47.15449994,608.4527074,35,0.625
167.6101982,-47.15512034,563.1671303,35,0.575
167.6233317,-47.15573925,443.3532201,55,0.475
167.6364656,-47.15635665,472.7927227,35,0.525
167.6496,-47.15697256,598.8453107,55,0.475
167.6627348,-47.15758697,608.4527074,45,0.475
167.6758701,-47.15819988,472.7927227,35,0.525
167.6890058,-47.15881129,472.7927227,55,0.525
167.7152784,-47.16002961,472.7927227,65,0.425
167.7284154,-47.16063652,472.7927227,45,0.525
167.7415528,-47.16124193,443.3532201,55,0.525
167.7546906,-47.16184584,596.5160384,55,0.525
167.7678288,-47.16244825,443.3532201,55,0.475
167.7809675,-47.16304916,443.3532201,55,0.475
167.7941066,-47.16364857,608.4527074,45,0.475
167.8072461,-47.16424648,608.4527074,45,0.575
167.820386,-47.16484289,608.4527074,35,0.625
167.8335264,-47.1654378,608.4527074,45,0.625
167.8466672,-47.16603121,443.3532201,45,0.575
167.8598084,-47.16662312,472.7927227,55,0.525
167.87295,-47.16721352,598.8453107,55,0.525
167.886092,-47.16780243,596.5160384,45,0.525
167.5717152,-47.14429653,278.0602058,65,0.425
167.5848452,-47.14491973,429.4187403,55,0.525
167.5979756,-47.14554144,608.4527074,45,0.625
167.6111065,-47.14616165,608.4527074,35,0.575
167.6242378,-47.14678036,472.7927227,55,0.525
167.6373696,-47.14739757,472.7927227,55,0.525
167.6505018,-47.14801329,429.4187403,45,0.475
167.6636344,-47.1486275,608.4527074,35,0.475
167.6767674,-47.14924022,608.4527074,45,0.525
167.6899009,-47.14985144,443.3532201,45,0.475
167.7030348,-47.15046116,429.4187403,45,0.425
167.7161692,-47.15106938,455.7786933,45,0.475
167.729304,-47.1516761,429.4187403,35,0.625
167.7424392,-47.15228133,443.3532201,45,0.525
167.7555748,-47.15288505,429.4187403,45,0.575
167.7687109,-47.15348727,472.7927227,45,0.525
167.7818473,-47.154088,608.4527074,55,0.475
167.7949842,-47.15468722,472.7927227,55,0.525
167.8081216,-47.15528494,472.7927227,45,0.575
167.8212593,-47.15588117,608.4527074,35,0.675
167.8343975,-47.15647589,443.3532201,45,0.625
167.8475361,-47.15706912,443.3532201,45,0.575
167.8606751,-47.15766084,472.7927227,45,0.575
167.8738145,-47.15825106,608.4527074,35,0.575
167.8869543,-47.15883978,472.7927227,55,0.575
167.9000946,-47.159427,598.8453107,45,0.525
167.5857574,-47.1359614,608.4527074,55,0.475
167.5988857,-47.13658291,443.3532201,35,0.475
167.6120144,-47.13720293,608.4527074,35,0.575
167.6251435,-47.13782145,370.4840593,45,0.525
167.6382731,-47.13843847,386.8868477,45,0.525
167.6514031,-47.13905399,472.7927227,45,0.475
167.6645335,-47.13966801,472.7927227,35,0.525
167.6776644,-47.14028054,521.1074054,55,0.525
